#fa/C	ma
1.970558e+06	5.418899e+00
2.011904e+06	5.428973e+00
2.054117e+06	5.426902e+00
2.097217e+06	5.441702e+00
2.141220e+06	5.457531e+00
2.186147e+06	5.470994e+00
2.232016e+06	5.477314e+00
2.278848e+06	5.480955e+00
2.326663e+06	5.487424e+00
2.375481e+06	5.496892e+00
2.425323e+06	5.507277e+00
2.476211e+06	5.519179e+00
2.528166e+06	5.534799e+00
2.581212e+06	5.549303e+00
2.635371e+06	5.563180e+00
2.690666e+06	5.571895e+00
2.747121e+06	5.579242e+00
2.804761e+06	5.587951e+00
2.863610e+06	5.596597e+00
2.923694e+06	5.607529e+00
2.985038e+06	5.620307e+00
3.047670e+06	5.629093e+00
3.111616e+06	5.632324e+00
3.176903e+06	5.640361e+00
3.243561e+06	5.673056e+00
3.311617e+06	5.681359e+00
3.381101e+06	5.695058e+00
3.452043e+06	5.699406e+00
3.524473e+06	5.708006e+00
3.598423e+06	5.722713e+00
3.673925e+06	5.739837e+00
3.751011e+06	5.758968e+00
3.829714e+06	5.768641e+00
3.910069e+06	5.773040e+00
3.992109e+06	5.793646e+00
4.075871e+06	5.805471e+00
4.161391e+06	5.817702e+00
4.248704e+06	5.834648e+00
4.337850e+06	5.836486e+00
4.428866e+06	5.845671e+00
4.521792e+06	5.868738e+00
4.616668e+06	5.872830e+00
4.713535e+06	5.879236e+00
4.812433e+06	5.916334e+00
4.913407e+06	5.924513e+00
5.016500e+06	5.938027e+00
5.121755e+06	5.955327e+00
5.229220e+06	5.967704e+00
5.338938e+06	5.982967e+00
5.450959e+06	5.997167e+00
5.565331e+06	6.006653e+00
5.682102e+06	6.019162e+00
5.801323e+06	6.027953e+00
5.923046e+06	6.045797e+00
6.047322e+06	6.063524e+00
6.174207e+06	6.086626e+00
6.303753e+06	6.107760e+00
6.436018e+06	6.117260e+00
6.571058e+06	6.130928e+00
6.708931e+06	6.142476e+00
6.849697e+06	6.148136e+00
6.993416e+06	6.172742e+00
7.140151e+06	6.204115e+00
7.289965e+06	6.193334e+00
7.442922e+06	6.232018e+00
7.599089e+06	6.232350e+00
7.758532e+06	6.252307e+00
7.921321e+06	6.282028e+00
8.087525e+06	6.306464e+00
8.257216e+06	6.324926e+00
8.430468e+06	6.343397e+00
