#fa/C	ma
6.274732e+06	7.215455e+01
6.332908e+06	7.348092e+01
6.391624e+06	7.483208e+01
6.450884e+06	7.620870e+01
6.510694e+06	7.761064e+01
6.571058e+06	7.903866e+01
6.631981e+06	8.049299e+01
6.693470e+06	8.197191e+01
6.755528e+06	8.347442e+01
6.818162e+06	8.500447e+01
6.881377e+06	8.660662e+01
6.945178e+06	8.824542e+01
7.009570e+06	8.989835e+01
7.074559e+06	9.155257e+01
7.140151e+06	9.323723e+01
7.206351e+06	9.496821e+01
7.273165e+06	9.673388e+01
7.340598e+06	9.852171e+01
7.408657e+06	1.003226e+02
7.477346e+06	1.021564e+02
7.546673e+06	1.040422e+02
7.616642e+06	1.059664e+02
7.687260e+06	1.079431e+02
7.758532e+06	1.099909e+02
7.830465e+06	1.120775e+02
7.903066e+06	1.141627e+02
7.976339e+06	1.162780e+02
8.050292e+06	1.184120e+02
8.124930e+06	1.205409e+02
8.200261e+06	1.227081e+02
8.276289e+06	1.249731e+02
8.353023e+06	1.272935e+02
8.430468e+06	1.296570e+02
8.508632e+06	1.320643e+02
8.587519e+06	1.345164e+02
8.667139e+06	1.370038e+02
8.747496e+06	1.395345e+02
8.828599e+06	1.421380e+02
8.910453e+06	1.448545e+02
8.993067e+06	1.476229e+02
9.076446e+06	1.503294e+02
9.160598e+06	1.530533e+02
9.245531e+06	1.558517e+02
9.331251e+06	1.587686e+02
9.417766e+06	1.617401e+02
9.505083e+06	1.647020e+02
9.593209e+06	1.676981e+02
9.682153e+06	1.707925e+02
9.771921e+06	1.740700e+02
9.862522e+06	1.774105e+02
9.953962e+06	1.806300e+02
1.004625e+07	1.838465e+02
1.013939e+07	1.871823e+02
1.023340e+07	1.907723e+02
1.032828e+07	1.944312e+02
1.042404e+07	1.980602e+02
