#fa/C	ma
6.274732e+06	3.276236e+00
6.332908e+06	3.302877e+00
6.391624e+06	3.330088e+00
6.450884e+06	3.358066e+00
6.510694e+06	3.386279e+00
6.571058e+06	3.415556e+00
6.631981e+06	3.445190e+00
6.693470e+06	3.475431e+00
6.755528e+06	3.506510e+00
6.818162e+06	3.537867e+00
6.881377e+06	3.570344e+00
6.945178e+06	3.603240e+00
7.009570e+06	3.636796e+00
7.074559e+06	3.671284e+00
7.140151e+06	3.706100e+00
7.206351e+06	3.742096e+00
7.273165e+06	3.778583e+00
7.340598e+06	3.815767e+00
7.408657e+06	3.853950e+00
7.477346e+06	3.892516e+00
7.546673e+06	3.932354e+00
7.616642e+06	3.972765e+00
7.687260e+06	4.013907e+00
7.758532e+06	4.056105e+00
7.830465e+06	4.098746e+00
7.903066e+06	4.142749e+00
7.976339e+06	4.187415e+00
8.050292e+06	4.232946e+00
8.124930e+06	4.279790e+00
8.200261e+06	4.327153e+00
8.276289e+06	4.375769e+00
8.353023e+06	4.425100e+00
8.430468e+06	4.475323e+00
8.508632e+06	4.526887e+00
8.587519e+06	4.579044e+00
8.667139e+06	4.632751e+00
8.747496e+06	4.687329e+00
8.828599e+06	4.742835e+00
8.910453e+06	4.799699e+00
8.993067e+06	4.857244e+00
9.076446e+06	4.916460e+00
9.160598e+06	4.976671e+00
9.245531e+06	5.037932e+00
9.331251e+06	5.100776e+00
9.417766e+06	5.164404e+00
9.505083e+06	5.229581e+00
9.593209e+06	5.295810e+00
9.682153e+06	5.363166e+00
9.771921e+06	5.432203e+00
9.862522e+06	5.502128e+00
9.953962e+06	5.573849e+00
1.004625e+07	5.646800e+00
1.013939e+07	5.720990e+00
1.023340e+07	5.797036e+00
1.032828e+07	5.874092e+00
1.042404e+07	5.953078e+00
1.052069e+07	6.033451e+00
1.061823e+07	6.115217e+00
1.071668e+07	6.199128e+00
1.081604e+07	6.284191e+00
1.091632e+07	6.371029e+00
1.101753e+07	6.459301e+00
1.111968e+07	6.549066e+00
1.122277e+07	6.641069e+00
1.132683e+07	6.734365e+00
1.143184e+07	6.829791e+00
1.153783e+07	6.926911e+00
1.164481e+07	7.025692e+00
1.175277e+07	7.127010e+00
1.186174e+07	7.229790e+00
1.197171e+07	7.334711e+00
1.208271e+07	7.441450e+00
1.219473e+07	7.549976e+00
1.230780e+07	7.661122e+00
1.242191e+07	7.773903e+00
1.253708e+07	7.889337e+00
1.265332e+07	8.006962e+00
1.277063e+07	8.126449e+00
1.288904e+07	8.248253e+00
1.300854e+07	8.371882e+00
1.312915e+07	8.498589e+00
1.325087e+07	8.627845e+00
1.337373e+07	8.759218e+00
1.349772e+07	8.893422e+00
1.362287e+07	9.029681e+00
1.374917e+07	9.168815e+00
1.387665e+07	9.310525e+00
1.400531e+07	9.454573e+00
1.413516e+07	9.601772e+00
1.426621e+07	9.751262e+00
1.439848e+07	9.903808e+00
1.453198e+07	1.005917e+01
1.466671e+07	1.021716e+01
1.480269e+07	1.037900e+01
1.493993e+07	1.054341e+01
1.507845e+07	1.071096e+01
1.521825e+07	1.088150e+01
1.535935e+07	1.105492e+01
1.550175e+07	1.123236e+01
1.564548e+07	1.141266e+01
1.579053e+07	1.159649e+01
1.593694e+07	1.178372e+01
1.608469e+07	1.197411e+01
1.623382e+07	1.216893e+01
1.638434e+07	1.236693e+01
1.653624e+07	1.256888e+01
1.668956e+07	1.277464e+01
1.684430e+07	1.298382e+01
1.700047e+07	1.319705e+01
1.715809e+07	1.341378e+01
1.731717e+07	1.363537e+01
1.747773e+07	1.386160e+01
1.763977e+07	1.409162e+01
1.780332e+07	1.432578e+01
1.796838e+07	1.456384e+01
1.813498e+07	1.480649e+01
1.830312e+07	1.505371e+01
1.847281e+07	1.530516e+01
1.864409e+07	1.556290e+01
1.881694e+07	1.582498e+01
1.899141e+07	1.609154e+01
1.916748e+07	1.636264e+01
1.934520e+07	1.663836e+01
1.952456e+07	1.692033e+01
1.970558e+07	1.720708e+01
