#fa/C,dNeff
6.274732e+06,2.674663e-01
6.332908e+06,2.651137e-01
6.391624e+06,2.627541e-01
6.450884e+06,2.603874e-01
6.510694e+06,2.580147e-01
6.571058e+06,2.556366e-01
6.631981e+06,2.532533e-01
6.693470e+06,2.508671e-01
6.755528e+06,2.484777e-01
6.818162e+06,2.460855e-01
6.881377e+06,2.436907e-01
6.945178e+06,2.412935e-01
7.009570e+06,2.388959e-01
7.074559e+06,2.364976e-01
7.140151e+06,2.340996e-01
7.206351e+06,2.317024e-01
7.273165e+06,2.293063e-01
7.340598e+06,2.269138e-01
7.408657e+06,2.245255e-01
7.477346e+06,2.221398e-01
7.546673e+06,2.197548e-01
7.616642e+06,2.173724e-01
7.687260e+06,2.149977e-01
7.758532e+06,2.126315e-01
7.830465e+06,2.102715e-01
7.903066e+06,2.079167e-01
7.976339e+06,2.055675e-01
8.050292e+06,2.032226e-01
8.124930e+06,2.008800e-01
8.200261e+06,1.985468e-01
8.276289e+06,1.962292e-01
8.353023e+06,1.939241e-01
8.430468e+06,1.916280e-01
8.508632e+06,1.893408e-01
8.587519e+06,1.870632e-01
8.667139e+06,1.847944e-01
8.747496e+06,1.825355e-01
8.828599e+06,1.802911e-01
8.910453e+06,1.780624e-01
8.993067e+06,1.758459e-01
9.076446e+06,1.736384e-01
9.160598e+06,1.714416e-01
9.245531e+06,1.692589e-01
9.331251e+06,1.670896e-01
9.417766e+06,1.649357e-01
9.505083e+06,1.627997e-01
9.593209e+06,1.606804e-01
9.682153e+06,1.585769e-01
9.771921e+06,1.564894e-01
9.862522e+06,1.544171e-01
9.953962e+06,1.523592e-01
1.004625e+07,1.503161e-01
1.013939e+07,1.482899e-01
1.023340e+07,1.462807e-01
1.032828e+07,1.442881e-01
1.042404e+07,1.423122e-01
1.052069e+07,1.403530e-01
1.061823e+07,1.384092e-01
1.071668e+07,1.364790e-01
1.081604e+07,1.345668e-01
1.091632e+07,1.326771e-01
1.101753e+07,1.308081e-01
1.111968e+07,1.289566e-01
1.122277e+07,1.271218e-01
1.132683e+07,1.253051e-01
1.143184e+07,1.235075e-01
1.153783e+07,1.217285e-01
1.164481e+07,1.199656e-01
1.175277e+07,1.182172e-01
1.186174e+07,1.164869e-01
1.197171e+07,1.147789e-01
1.208271e+07,1.130917e-01
1.219473e+07,1.114220e-01
1.230780e+07,1.097693e-01
1.242191e+07,1.081340e-01
1.253708e+07,1.065158e-01
1.265332e+07,1.049145e-01
1.277063e+07,1.033344e-01
1.288904e+07,1.017781e-01
1.300854e+07,1.002400e-01
1.312915e+07,9.871426e-02
1.325087e+07,9.720242e-02
1.337373e+07,9.571057e-02
1.349772e+07,9.424042e-02
1.362287e+07,9.278916e-02
1.374917e+07,9.135479e-02
1.387665e+07,8.993764e-02
1.400531e+07,8.853869e-02
1.413516e+07,8.715789e-02
1.426621e+07,8.579511e-02
1.439848e+07,8.445071e-02
1.453198e+07,8.312444e-02
1.466671e+07,8.181439e-02
1.480269e+07,8.051922e-02
1.493993e+07,7.924079e-02
1.507845e+07,7.798128e-02
1.521825e+07,7.673993e-02
1.535935e+07,7.551515e-02
1.550175e+07,7.430624e-02
1.564548e+07,7.311368e-02
1.579053e+07,7.193782e-02
1.593694e+07,7.077838e-02
1.608469e+07,6.963471e-02
1.623382e+07,6.850645e-02
1.638434e+07,6.739368e-02
1.653624e+07,6.629622e-02
1.668956e+07,6.521375e-02
1.684430e+07,6.414794e-02
1.700047e+07,6.310025e-02
1.715809e+07,6.206789e-02
1.731717e+07,6.104698e-02
1.747773e+07,6.003786e-02
1.763977e+07,5.904462e-02
1.780332e+07,5.806871e-02
1.796838e+07,5.710830e-02
1.813498e+07,5.616249e-02
1.830312e+07,5.523144e-02
1.847281e+07,5.431280e-02
1.864409e+07,5.340448e-02
1.881694e+07,5.250903e-02
1.899141e+07,5.163004e-02
1.916748e+07,5.076678e-02
1.934520e+07,4.991652e-02
1.952456e+07,4.907817e-02
1.970558e+07,4.825222e-02
1.988828e+07,4.743863e-02
2.007267e+07,4.663714e-02
2.025878e+07,4.584810e-02
2.044661e+07,4.507155e-02
2.063618e+07,4.430716e-02
2.082751e+07,4.355476e-02
2.102061e+07,4.281419e-02
2.121550e+07,4.208521e-02
2.141220e+07,4.136786e-02
2.161073e+07,4.066163e-02
2.181109e+07,3.996540e-02
2.201331e+07,3.927870e-02
2.221741e+07,3.860463e-02
2.242340e+07,3.794570e-02
2.263130e+07,3.729867e-02
2.284112e+07,3.665882e-02
2.305289e+07,3.602628e-02
2.326663e+07,3.540381e-02
2.348235e+07,3.479255e-02
2.370006e+07,3.419147e-02
2.391980e+07,3.360005e-02
2.414157e+07,3.301806e-02
2.436540e+07,3.244600e-02
2.459130e+07,3.188450e-02
2.481930e+07,3.133247e-02
2.504942e+07,3.078784e-02
2.528166e+07,3.025034e-02
2.551606e+07,2.972203e-02
2.575263e+07,2.920404e-02
