#fa/C,dNeff
6.274732e+07,3.983966e-01
6.332908e+07,3.949110e-01
6.391624e+07,3.913777e-01
6.450884e+07,3.877843e-01
6.510694e+07,3.841866e-01
6.571058e+07,3.806244e-01
6.631981e+07,3.770748e-01
6.693470e+07,3.735221e-01
6.755528e+07,3.699720e-01
6.818162e+07,3.664066e-01
6.881377e+07,3.628122e-01
6.945178e+07,3.591952e-01
7.009570e+07,3.555521e-01
7.074559e+07,3.518724e-01
7.140151e+07,3.481956e-01
7.206351e+07,3.445524e-01
7.273165e+07,3.409270e-01
7.340598e+07,3.373099e-01
7.408657e+07,3.337051e-01
7.477346e+07,3.301006e-01
7.546673e+07,3.264836e-01
7.616642e+07,3.228619e-01
7.687260e+07,3.192484e-01
7.758532e+07,3.156438e-01
7.830465e+07,3.120455e-01
7.903066e+07,3.084494e-01
7.976339e+07,3.048601e-01
8.050292e+07,3.012969e-01
8.124930e+07,2.977659e-01
8.200261e+07,2.942467e-01
8.276289e+07,2.907235e-01
8.353023e+07,2.872044e-01
8.430468e+07,2.836988e-01
8.508632e+07,2.802061e-01
8.587519e+07,2.767287e-01
8.667139e+07,2.732687e-01
8.747496e+07,2.698261e-01
8.828599e+07,2.664073e-01
8.910453e+07,2.630134e-01
8.993067e+07,2.596411e-01
9.076446e+07,2.562881e-01
9.160598e+07,2.529555e-01
9.245531e+07,2.496451e-01
9.331251e+07,2.463543e-01
9.417766e+07,2.430907e-01
9.505083e+07,2.398668e-01
9.593209e+07,2.366755e-01
9.682153e+07,2.334855e-01
9.771921e+07,2.302840e-01
9.862522e+07,2.271052e-01
9.953962e+07,2.239766e-01
1.004625e+08,2.208873e-01
1.013939e+08,2.178379e-01
1.023340e+08,2.148358e-01
1.032828e+08,2.118595e-01
1.042404e+08,2.088869e-01
1.052069e+08,2.059266e-01
1.061823e+08,2.029870e-01
1.071668e+08,2.000622e-01
1.081604e+08,1.971692e-01
1.091632e+08,1.943305e-01
1.101753e+08,1.915366e-01
1.111968e+08,1.887598e-01
1.122277e+08,1.859917e-01
1.132683e+08,1.832491e-01
1.143184e+08,1.805453e-01
1.153783e+08,1.778752e-01
1.164481e+08,1.752344e-01
1.175277e+08,1.726219e-01
1.186174e+08,1.700386e-01
1.197171e+08,1.674848e-01
1.208271e+08,1.649601e-01
1.219473e+08,1.624645e-01
1.230780e+08,1.599974e-01
1.242191e+08,1.575593e-01
1.253708e+08,1.551506e-01
1.265332e+08,1.527707e-01
1.277063e+08,1.504198e-01
1.288904e+08,1.480976e-01
1.300854e+08,1.458041e-01
1.312915e+08,1.435393e-01
1.325087e+08,1.413027e-01
1.337373e+08,1.390947e-01
1.349772e+08,1.369149e-01
1.362287e+08,1.347632e-01
1.374917e+08,1.326399e-01
1.387665e+08,1.305445e-01
1.400531e+08,1.284759e-01
1.413516e+08,1.264327e-01
1.426621e+08,1.244169e-01
1.439848e+08,1.224305e-01
1.453198e+08,1.204727e-01
1.466671e+08,1.185412e-01
1.480269e+08,1.166340e-01
1.493993e+08,1.147537e-01
1.507845e+08,1.129037e-01
1.521825e+08,1.110830e-01
1.535935e+08,1.092855e-01
1.550175e+08,1.075086e-01
1.564548e+08,1.057553e-01
1.579053e+08,1.040284e-01
1.593694e+08,1.023273e-01
1.608469e+08,1.006460e-01
1.623382e+08,9.897946e-02
1.638434e+08,9.733517e-02
1.653624e+08,9.572206e-02
1.668956e+08,9.413742e-02
1.684430e+08,9.258046e-02
1.700047e+08,9.105347e-02
1.715809e+08,8.955070e-02
1.731717e+08,8.806332e-02
1.747773e+08,8.659266e-02
1.763977e+08,8.514370e-02
1.780332e+08,8.371770e-02
1.796838e+08,8.231333e-02
1.813498e+08,8.093040e-02
1.830312e+08,7.956854e-02
1.847281e+08,7.822807e-02
1.864409e+08,7.691063e-02
1.881694e+08,7.561261e-02
1.899141e+08,7.432736e-02
1.916748e+08,7.305482e-02
1.934520e+08,7.180539e-02
1.952456e+08,7.058376e-02
1.970558e+08,6.938469e-02
1.988828e+08,6.820436e-02
2.007267e+08,6.704343e-02
2.025878e+08,6.589938e-02
2.044661e+08,6.477002e-02
2.063618e+08,6.365744e-02
2.082751e+08,6.256439e-02
2.102061e+08,6.149018e-02
2.121550e+08,6.043344e-02
2.141220e+08,5.939381e-02
2.161073e+08,5.837080e-02
2.181109e+08,5.736298e-02
2.201331e+08,5.636995e-02
2.221741e+08,5.539403e-02
2.242340e+08,5.443582e-02
2.263130e+08,5.349474e-02
2.284112e+08,5.257192e-02
2.305289e+08,5.166768e-02
2.326663e+08,5.077648e-02
2.348235e+08,4.989560e-02
2.370006e+08,4.902647e-02
2.391980e+08,4.816819e-02
2.414157e+08,4.731924e-02
2.436540e+08,4.648791e-02
2.459130e+08,4.568046e-02
2.481930e+08,4.489031e-02
2.504942e+08,4.410870e-02
2.528166e+08,4.333598e-02
2.551606e+08,4.257532e-02
2.575263e+08,4.182761e-02
2.599140e+08,4.109231e-02
2.623238e+08,4.037044e-02
2.647559e+08,3.966219e-02
2.672106e+08,3.896462e-02
2.696881e+08,3.827448e-02
2.721885e+08,3.759478e-02
2.747121e+08,3.693186e-02
2.772591e+08,3.628606e-02
2.798297e+08,3.565058e-02
2.824241e+08,3.502126e-02
2.850426e+08,3.440063e-02
2.876854e+08,3.379068e-02
2.903527e+08,3.319108e-02
2.930447e+08,3.260159e-02
2.957617e+08,3.202188e-02
2.985038e+08,3.145210e-02
3.012714e+08,3.089316e-02
3.040646e+08,3.034474e-02
3.068838e+08,2.980680e-02
3.097291e+08,2.927991e-02
3.126007e+08,2.876302e-02
3.154990e+08,2.825342e-02
3.184242e+08,2.775082e-02
3.213764e+08,2.725652e-02
3.243561e+08,2.677138e-02
3.273634e+08,2.629457e-02
3.303985e+08,2.582463e-02
3.334618e+08,2.536091e-02
3.365535e+08,2.490564e-02
3.396739e+08,2.446056e-02
3.428231e+08,2.402431e-02
3.460016e+08,2.359499e-02
3.492096e+08,2.317229e-02
3.524473e+08,2.275705e-02
3.557150e+08,2.234974e-02
3.590130e+08,2.194990e-02
3.623416e+08,2.155704e-02
3.657011e+08,2.117100e-02
3.690917e+08,2.079183e-02
3.725137e+08,2.041954e-02
3.759675e+08,2.005391e-02
3.794533e+08,1.969462e-02
3.829714e+08,1.934153e-02
3.865221e+08,1.899462e-02
3.901058e+08,1.865385e-02
3.937226e+08,1.831907e-02
3.973730e+08,1.798987e-02
4.010573e+08,1.766592e-02
4.047757e+08,1.734791e-02
4.085286e+08,1.703672e-02
4.123163e+08,1.673163e-02
4.161391e+08,1.643068e-02
4.199973e+08,1.613337e-02
4.238913e+08,1.584102e-02
4.278214e+08,1.555444e-02
4.317880e+08,1.527319e-02
4.357913e+08,1.499747e-02
4.398317e+08,1.472716e-02
4.439097e+08,1.446223e-02
4.480254e+08,1.420299e-02
4.521792e+08,1.394905e-02
4.563716e+08,1.369873e-02
4.606029e+08,1.345164e-02
4.648734e+08,1.320856e-02
4.691835e+08,1.296994e-02
4.735335e+08,1.273552e-02
4.779239e+08,1.250527e-02
4.823549e+08,1.227933e-02
4.868271e+08,1.205707e-02
4.913407e+08,1.183746e-02
4.958962e+08,1.162092e-02
5.004939e+08,1.140976e-02
5.051342e+08,1.120486e-02
5.098176e+08,1.100380e-02
5.145444e+08,1.080437e-02
5.193150e+08,1.060735e-02
5.241298e+08,1.041440e-02
5.289893e+08,1.022585e-02
5.338938e+08,1.004087e-02
5.388438e+08,9.858887e-03
5.438397e+08,9.680017e-03
5.488820e+08,9.504531e-03
5.539709e+08,9.332452e-03
5.591071e+08,9.163566e-03
5.642908e+08,8.997738e-03
5.695227e+08,8.834936e-03
5.748030e+08,8.674931e-03
5.801323e+08,8.517568e-03
5.855110e+08,8.363012e-03
5.909396e+08,8.211432e-03
5.964185e+08,8.062706e-03
6.019482e+08,7.916655e-03
6.075292e+08,7.773232e-03
6.131619e+08,7.632357e-03
6.188468e+08,7.493883e-03
6.245845e+08,7.357796e-03
6.303753e+08,7.224285e-03
6.362198e+08,7.093508e-03
6.421186e+08,6.965022e-03
6.480720e+08,6.838250e-03
6.540806e+08,6.713297e-03
6.601449e+08,6.590885e-03
6.662655e+08,6.471210e-03
6.724427e+08,6.353904e-03
6.786773e+08,6.238751e-03
6.849697e+08,6.125769e-03
6.913204e+08,6.014667e-03
6.977300e+08,5.905279e-03
7.041990e+08,5.797775e-03
7.107280e+08,5.692303e-03
7.173175e+08,5.588774e-03
7.239681e+08,5.487198e-03
7.306804e+08,5.387656e-03
7.374549e+08,5.289890e-03
7.442922e+08,5.193527e-03
7.511929e+08,5.098600e-03
7.581576e+08,5.005510e-03
7.651869e+08,4.914381e-03
7.722814e+08,4.825006e-03
7.794416e+08,4.737246e-03
7.866682e+08,4.651101e-03
7.939618e+08,4.566495e-03
8.013230e+08,4.483356e-03
8.087525e+08,4.401722e-03
8.162509e+08,4.321659e-03
8.238187e+08,4.243129e-03
8.314568e+08,4.165982e-03
8.391656e+08,4.090189e-03
8.469460e+08,4.015691e-03
8.547985e+08,3.942326e-03
8.627237e+08,3.870078e-03
8.707225e+08,3.799196e-03
8.787954e+08,3.729778e-03
8.869432e+08,3.661680e-03
8.951665e+08,3.594791e-03
9.034660e+08,3.529102e-03
9.118425e+08,3.464632e-03
9.202967e+08,3.401437e-03
9.288292e+08,3.339372e-03
9.374409e+08,3.278173e-03
9.461324e+08,3.217819e-03
9.549045e+08,3.158704e-03
9.637579e+08,3.101033e-03
9.726934e+08,3.044555e-03
9.817117e+08,2.989039e-03
9.908137e+08,2.934501e-03
1.000000e+09,2.880941e-03
