#fa/C,dNeff
1.970558e+06,2.561491e-01
2.011904e+06,2.557011e-01
2.054117e+06,2.557691e-01
2.097217e+06,2.551592e-01
2.141220e+06,2.544588e-01
2.186147e+06,2.537755e-01
2.232016e+06,2.531720e-01
2.278848e+06,2.531169e-01
2.326663e+06,2.528559e-01
2.375481e+06,2.522553e-01
2.425323e+06,2.517781e-01
2.476211e+06,2.513072e-01
2.528166e+06,2.506264e-01
2.581212e+06,2.500130e-01
2.635371e+06,2.492395e-01
2.690666e+06,2.489312e-01
2.747121e+06,2.483320e-01
2.804761e+06,2.478264e-01
2.863610e+06,2.475004e-01
2.923694e+06,2.470703e-01
2.985038e+06,2.464424e-01
3.047670e+06,2.460293e-01
3.111616e+06,2.458464e-01
3.176903e+06,2.451990e-01
3.243561e+06,2.440823e-01
3.311617e+06,2.437888e-01
3.381101e+06,2.429412e-01
3.452043e+06,2.427301e-01
3.524473e+06,2.423599e-01
3.598423e+06,2.415717e-01
3.673925e+06,2.407991e-01
3.751011e+06,2.401012e-01
3.829714e+06,2.397155e-01
3.910069e+06,2.391693e-01
3.992109e+06,2.383603e-01
4.075871e+06,2.377233e-01
4.161391e+06,2.371591e-01
4.248704e+06,2.363337e-01
4.337850e+06,2.362403e-01
4.428866e+06,2.359155e-01
4.521792e+06,2.348574e-01
4.616668e+06,2.345419e-01
4.713535e+06,2.341716e-01
4.812433e+06,2.328768e-01
4.913407e+06,2.323558e-01
5.016500e+06,2.317414e-01
5.121755e+06,2.309419e-01
5.229220e+06,2.304364e-01
5.338938e+06,2.298398e-01
5.450959e+06,2.292160e-01
5.565331e+06,2.287150e-01
5.682102e+06,2.280711e-01
5.801323e+06,2.274968e-01
5.923046e+06,2.267651e-01
6.047322e+06,2.261351e-01
6.174207e+06,2.251591e-01
6.303753e+06,2.242134e-01
6.436018e+06,2.237507e-01
6.571058e+06,2.231709e-01
6.708931e+06,2.226744e-01
6.849697e+06,2.223328e-01
6.993416e+06,2.212535e-01
7.140151e+06,2.201598e-01
7.289965e+06,2.202141e-01
7.442922e+06,2.187517e-01
7.599089e+06,2.186327e-01
7.758532e+06,2.179498e-01
7.921321e+06,2.167839e-01
8.087525e+06,2.158728e-01
8.257216e+06,2.151688e-01
8.430468e+06,2.144095e-01
8.607355e+06,2.136265e-01
8.787954e+06,2.131313e-01
8.972342e+06,2.123606e-01
9.160598e+06,2.115046e-01
9.352805e+06,2.108086e-01
9.549045e+06,2.100671e-01
9.749402e+06,2.095824e-01
9.953962e+06,2.087409e-01
1.016282e+07,2.076154e-01
1.037605e+07,2.069194e-01
1.059376e+07,2.061327e-01
1.081604e+07,2.053475e-01
1.104298e+07,2.044734e-01
