#fa/C,dNeff
1.571784e+07,2.170941e-03
1.593694e+07,2.111039e-03
1.615909e+07,2.048149e-03
1.638434e+07,1.982666e-03
1.661273e+07,1.928812e-03
1.684430e+07,1.881411e-03
1.707910e+07,1.836875e-03
1.731717e+07,1.790932e-03
1.755856e+07,1.741959e-03
1.780332e+07,1.692449e-03
1.805149e+07,1.643315e-03
1.830312e+07,1.595861e-03
1.855825e+07,1.552442e-03
1.881694e+07,1.513521e-03
1.907924e+07,1.469052e-03
1.934520e+07,1.424296e-03
1.961486e+07,1.389506e-03
1.988828e+07,1.355959e-03
2.016551e+07,1.321581e-03
2.044661e+07,1.284302e-03
2.073162e+07,1.246467e-03
2.102061e+07,1.213909e-03
2.131362e+07,1.180076e-03
2.161073e+07,1.142536e-03
2.191197e+07,1.112636e-03
2.221741e+07,1.086151e-03
2.252711e+07,1.055926e-03
2.284112e+07,1.024973e-03
2.315951e+07,9.938625e-04
2.348235e+07,9.708522e-04
2.380968e+07,9.503359e-04
2.414157e+07,9.170371e-04
2.447809e+07,8.867787e-04
2.481930e+07,8.651108e-04
2.516527e+07,8.461528e-04
2.551606e+07,8.275579e-04
2.587174e+07,8.007553e-04
2.623238e+07,7.742529e-04
2.659804e+07,7.521201e-04
2.696881e+07,7.288974e-04
2.734474e+07,7.057072e-04
2.772591e+07,6.862039e-04
2.811239e+07,6.673599e-04
2.850426e+07,6.473836e-04
2.890160e+07,6.362794e-04
2.930447e+07,6.284748e-04
2.971296e+07,6.132844e-04
3.012714e+07,5.930013e-04
3.054710e+07,5.675419e-04
3.097291e+07,5.500799e-04
3.140465e+07,5.375588e-04
3.184242e+07,5.260929e-04
3.228628e+07,5.142982e-04
3.273634e+07,5.006225e-04
3.319266e+07,4.879267e-04
3.365535e+07,4.759553e-04
3.412449e+07,4.634672e-04
3.460016e+07,4.501599e-04
3.508247e+07,4.351528e-04
3.557150e+07,4.234215e-04
3.606735e+07,4.137118e-04
3.657011e+07,4.011804e-04
3.707988e+07,3.886961e-04
3.759675e+07,3.778957e-04
3.812083e+07,3.688140e-04
3.865221e+07,3.606677e-04
3.919100e+07,3.494206e-04
3.973730e+07,3.389834e-04
4.029122e+07,3.323131e-04
4.085286e+07,3.213510e-04
4.142232e+07,3.068310e-04
4.199973e+07,3.027920e-04
4.258518e+07,2.985280e-04
4.317880e+07,2.847658e-04
4.378069e+07,2.756752e-04
4.439097e+07,2.702452e-04
4.500975e+07,2.640365e-04
4.563716e+07,2.558153e-04
4.627332e+07,2.403354e-04
4.691835e+07,2.309569e-04
4.757236e+07,2.257984e-04
4.823549e+07,2.194672e-04
4.890787e+07,2.145375e-04
4.958962e+07,2.124550e-04
5.028087e+07,2.081790e-04
5.098176e+07,2.006914e-04
5.169242e+07,1.989197e-04
5.241298e+07,1.971769e-04
5.314359e+07,1.872806e-04
5.388438e+07,1.790855e-04
5.463550e+07,1.738646e-04
5.539709e+07,1.724119e-04
5.616930e+07,1.708848e-04
5.695227e+07,1.600549e-04
5.774615e+07,1.547513e-04
5.855110e+07,1.532955e-04
5.936727e+07,1.498686e-04
6.019482e+07,1.451535e-04
6.103390e+07,1.407190e-04
6.188468e+07,1.356653e-04
6.274732e+07,1.301468e-04
6.362198e+07,1.276563e-04
6.450884e+07,1.258152e-04
6.540806e+07,1.236227e-04
6.631981e+07,1.195213e-04
6.724427e+07,1.119874e-04
6.818162e+07,1.083209e-04
6.913204e+07,1.057253e-04
7.009570e+07,1.026113e-04
7.107280e+07,1.008729e-04
7.206351e+07,1.000886e-04
7.306804e+07,9.774982e-05
7.408657e+07,9.422304e-05
7.511929e+07,9.147266e-05
7.616642e+07,8.889735e-05
7.722814e+07,8.645114e-05
7.830465e+07,8.409436e-05
7.939618e+07,8.178781e-05
8.050292e+07,7.957869e-05
8.162509e+07,7.677443e-05
8.276289e+07,7.299368e-05
8.391656e+07,7.043570e-05
8.508632e+07,6.840866e-05
8.627237e+07,6.590399e-05
8.747496e+07,6.516919e-05
8.869432e+07,6.537520e-05
8.993067e+07,6.458079e-05
9.118425e+07,6.245571e-05
9.245531e+07,6.087913e-05
9.374409e+07,5.952212e-05
9.505083e+07,5.839417e-05
9.637579e+07,5.706697e-05
9.771921e+07,5.561852e-05
9.908137e+07,5.423319e-05
1.004625e+08,5.287344e-05
1.018629e+08,5.153917e-05
1.032828e+08,5.023026e-05
1.047225e+08,4.894658e-05
1.061823e+08,4.768798e-05
1.076624e+08,4.645430e-05
1.091632e+08,4.524536e-05
1.106848e+08,4.406097e-05
1.122277e+08,4.290093e-05
1.137921e+08,4.176501e-05
1.153783e+08,4.065300e-05
1.169866e+08,3.956466e-05
1.186174e+08,3.849974e-05
1.202708e+08,3.745799e-05
1.219473e+08,3.643914e-05
1.236472e+08,3.544292e-05
1.253708e+08,3.446906e-05
1.271184e+08,3.351727e-05
1.288904e+08,3.258725e-05
1.306870e+08,3.167871e-05
1.325087e+08,3.079135e-05
1.343558e+08,2.992486e-05
1.362287e+08,2.907894e-05
1.381276e+08,2.825326e-05
1.400531e+08,2.744751e-05
1.420053e+08,2.666136e-05
1.439848e+08,2.589451e-05
1.459919e+08,2.514662e-05
1.480269e+08,2.441737e-05
1.500903e+08,2.370644e-05
1.521825e+08,2.301349e-05
1.543038e+08,2.233819e-05
1.564548e+08,2.168024e-05
1.586357e+08,2.103928e-05
1.608469e+08,2.041501e-05
1.630891e+08,1.980710e-05
1.653624e+08,1.921522e-05
1.676675e+08,1.863904e-05
1.700047e+08,1.807826e-05
1.723745e+08,1.753255e-05
1.747773e+08,1.700160e-05
1.772136e+08,1.648509e-05
1.796838e+08,1.598272e-05
1.821885e+08,1.549416e-05
1.847281e+08,1.501913e-05
1.873032e+08,1.455732e-05
1.899141e+08,1.410842e-05
1.925614e+08,1.367215e-05
1.952456e+08,1.324822e-05
1.979672e+08,1.283632e-05
2.007267e+08,1.243619e-05
2.035248e+08,1.204755e-05
2.063618e+08,1.167010e-05
2.092383e+08,1.130359e-05
2.121550e+08,1.094775e-05
2.151123e+08,1.060230e-05
2.181109e+08,1.026700e-05
2.211512e+08,9.941590e-06
2.242340e+08,9.625813e-06
2.273597e+08,9.319425e-06
2.305289e+08,9.022185e-06
2.337424e+08,8.733855e-06
2.370006e+08,8.454201e-06
2.403043e+08,8.182995e-06
2.436540e+08,7.920012e-06
2.470504e+08,7.665031e-06
2.504942e+08,7.417838e-06
2.539859e+08,7.178221e-06
2.575263e+08,6.945973e-06
2.611161e+08,6.720891e-06
2.647559e+08,6.502778e-06
2.684465e+08,6.291438e-06
2.721885e+08,6.086683e-06
2.759826e+08,5.888327e-06
2.798297e+08,5.696188e-06
2.837304e+08,5.510090e-06
2.876854e+08,5.329859e-06
2.916956e+08,5.155327e-06
2.957617e+08,4.986328e-06
2.998844e+08,4.822700e-06
3.040646e+08,4.664288e-06
3.083031e+08,4.510938e-06
3.126007e+08,4.362500e-06
3.169582e+08,4.218828e-06
3.213764e+08,4.079780e-06
3.258562e+08,3.945218e-06
3.303985e+08,3.815006e-06
3.350041e+08,3.689014e-06
3.396739e+08,3.567113e-06
3.444087e+08,3.449179e-06
3.492096e+08,3.335090e-06
3.540774e+08,3.224728e-06
3.590130e+08,3.117978e-06
3.640175e+08,3.014729e-06
3.690917e+08,2.914871e-06
3.742366e+08,2.818299e-06
3.794533e+08,2.724911e-06
3.847427e+08,2.634606e-06
3.901058e+08,2.547287e-06
3.955436e+08,2.462859e-06
4.010573e+08,2.381232e-06
4.066478e+08,2.302316e-06
4.123163e+08,2.226025e-06
4.180637e+08,2.152275e-06
4.238913e+08,2.080983e-06
4.298001e+08,2.012072e-06
4.357913e+08,1.945464e-06
4.418660e+08,1.881085e-06
4.480254e+08,1.818862e-06
4.542706e+08,1.758726e-06
4.606029e+08,1.700609e-06
4.670234e+08,1.644444e-06
4.735335e+08,1.590167e-06
4.801343e+08,1.537717e-06
4.868271e+08,1.487034e-06
4.936132e+08,1.438058e-06
5.004939e+08,1.390735e-06
5.074705e+08,1.345009e-06
5.145444e+08,1.300827e-06
5.217169e+08,1.258137e-06
5.289893e+08,1.216891e-06
5.363631e+08,1.177040e-06
5.438397e+08,1.138538e-06
5.514206e+08,1.101339e-06
5.591071e+08,1.065399e-06
5.669007e+08,1.030677e-06
5.748030e+08,9.971307e-07
5.828155e+08,9.647216e-07
5.909396e+08,9.334108e-07
5.991770e+08,9.031615e-07
6.075292e+08,8.739375e-07
6.159978e+08,8.457043e-07
6.245845e+08,8.184283e-07
6.332908e+08,7.920770e-07
6.421186e+08,7.666189e-07
6.510694e+08,7.420236e-07
6.601449e+08,7.182619e-07
6.693470e+08,6.953053e-07
6.786773e+08,6.731263e-07
6.881377e+08,6.516983e-07
6.977300e+08,6.309958e-07
7.074559e+08,6.109940e-07
7.173175e+08,5.916687e-07
7.273165e+08,5.729970e-07
7.374549e+08,5.549563e-07
7.477346e+08,5.375251e-07
7.581576e+08,5.206824e-07
7.687260e+08,5.044081e-07
7.794416e+08,4.886826e-07
