#fa/C	ma
1.571784e+07	2.602673e+00
1.593694e+07	2.602896e+00
1.615909e+07	2.604461e+00
1.638434e+07	2.605751e+00
1.661273e+07	2.606826e+00
1.684430e+07	2.607700e+00
1.707910e+07	2.608432e+00
1.731717e+07	2.608745e+00
1.755856e+07	2.608919e+00
1.780332e+07	2.608976e+00
1.805149e+07	2.609754e+00
1.830312e+07	2.610637e+00
1.855825e+07	2.611526e+00
1.881694e+07	2.612514e+00
1.907924e+07	2.613588e+00
1.934520e+07	2.614511e+00
1.961486e+07	2.615650e+00
1.988828e+07	2.617840e+00
2.016551e+07	2.618438e+00
2.044661e+07	2.617543e+00
2.073162e+07	2.618312e+00
2.102061e+07	2.619357e+00
2.131362e+07	2.620248e+00
2.161073e+07	2.621159e+00
2.191197e+07	2.622088e+00
2.221741e+07	2.623073e+00
2.252711e+07	2.624073e+00
2.284112e+07	2.625100e+00
2.315951e+07	2.626145e+00
2.348235e+07	2.627206e+00
2.380968e+07	2.628306e+00
2.414157e+07	2.629430e+00
2.447809e+07	2.630658e+00
2.481930e+07	2.631922e+00
2.516527e+07	2.633227e+00
2.551606e+07	2.634599e+00
2.587174e+07	2.636002e+00
2.623238e+07	2.637503e+00
2.659804e+07	2.639049e+00
2.696881e+07	2.640649e+00
2.734474e+07	2.642409e+00
2.772591e+07	2.644234e+00
2.811239e+07	2.646225e+00
2.850426e+07	2.648317e+00
2.890160e+07	2.650537e+00
2.930447e+07	2.652933e+00
2.971296e+07	2.655404e+00
3.012714e+07	2.658053e+00
3.054710e+07	2.660853e+00
3.097291e+07	2.663857e+00
3.140465e+07	2.667104e+00
3.184242e+07	2.670464e+00
3.228628e+07	2.674168e+00
3.273634e+07	2.678058e+00
3.319266e+07	2.682214e+00
3.365535e+07	2.686707e+00
3.412449e+07	2.691360e+00
3.460016e+07	2.696510e+00
3.508247e+07	2.701908e+00
3.557150e+07	2.707681e+00
3.606735e+07	2.713906e+00
3.657011e+07	2.720352e+00
3.707988e+07	2.727513e+00
3.759675e+07	2.734954e+00
3.812083e+07	2.742840e+00
3.865221e+07	2.751331e+00
3.919100e+07	2.760131e+00
3.973730e+07	2.770090e+00
4.029122e+07	2.780327e+00
4.085286e+07	2.791025e+00
4.142232e+07	2.802486e+00
4.199973e+07	2.814318e+00
4.258518e+07	2.826432e+00
4.317880e+07	2.839534e+00
4.378069e+07	2.854444e+00
4.439097e+07	2.869659e+00
4.500975e+07	2.885070e+00
4.563716e+07	2.901680e+00
4.627332e+07	2.918879e+00
4.691835e+07	2.937165e+00
4.757236e+07	2.956479e+00
4.823549e+07	2.976386e+00
4.890787e+07	2.997806e+00
4.958962e+07	3.019820e+00
5.028087e+07	3.042913e+00
5.098176e+07	3.067138e+00
5.169242e+07	3.092079e+00
5.241298e+07	3.119122e+00
5.314359e+07	3.146696e+00
5.388438e+07	3.175087e+00
5.463550e+07	3.205014e+00
5.539709e+07	3.235972e+00
5.616930e+07	3.268721e+00
5.695227e+07	3.302340e+00
5.774615e+07	3.337492e+00
5.855110e+07	3.374009e+00
5.936727e+07	3.411546e+00
6.019482e+07	3.451227e+00
6.103390e+07	3.491934e+00
6.188468e+07	3.534363e+00
6.274732e+07	3.578364e+00
6.362198e+07	3.623616e+00
6.450884e+07	3.671176e+00
6.540806e+07	3.719976e+00
6.631981e+07	3.770829e+00
6.724427e+07	3.823220e+00
6.818162e+07	3.876939e+00
6.913204e+07	3.933243e+00
7.009570e+07	3.991066e+00
7.107280e+07	4.051402e+00
7.206351e+07	4.113480e+00
7.306804e+07	4.177138e+00
7.408657e+07	4.243230e+00
7.511929e+07	4.311005e+00
7.616642e+07	4.381484e+00
7.722814e+07	4.454147e+00
7.830465e+07	4.528848e+00
7.939618e+07	4.606541e+00
8.050292e+07	4.686103e+00
8.162509e+07	4.768196e+00
8.276289e+07	4.852898e+00
8.391656e+07	4.940110e+00
8.508632e+07	5.030609e+00
