"fa, dNeff_GG, dNeff_full"
1000000,0.281412559709318,0.3699651567784
1023411.40210545,0.26984328602056,0.358596865367817
1047370.89795945,0.25855338287338,0.347366913593759
1071891.31920513,0.247553599832977,0.336334435274348
1096985.79789238,0.236852836490313,0.325497112298679
1122667.77351081,0.226458223321618,0.314818644841367
1148951.00018731,0.21637521197773,0.304337959215116
1175849.55405216,0.206607672910401,0.294066367266814
1203377.84077759,0.197157998003209,0.284010190477245
1231550.60329283,0.188027206421244,0.27417061930802
1260382.92967973,0.179215052226392,0.264556058936446
1289890.26125331,0.170720131926291,0.255169283827242
1320088.40083142,0.162539990960725,0.24601682534059
1350993.52119803,0.154671228069364,0.237116652897113
1382622.17376466,0.147109596346901,0.228421556668368
1414991.29743458,0.139850101116562,0.219962507712572
1448118.22767453,0.132887092396473,0.211770846226528
1482020.70579886,0.126214353629786,0.203792076835257
1516716.88847092,0.119825184717493,0.196069183288373
1552225.35742705,0.113712480023002,0.188567931178189
1588565.12942805,0.107868805367404,0.181309412171417
1625755.66644379,0.102286456599115,0.17424706655299
1663816.88607613,0.0969575218120998,0.16744326805665
1702769.1722259,0.0918739446206032,0.160836514112285
1742633.38600965,0.0870273303783645,0.154498814576113
1783430.87693191,0.0824096654589787,0.148314127399673
1825183.49431904,0.0780128231961733,0.142360388458635
1867913.59902078,0.0738286172604066,0.136632542499824
1911644.0753857,0.0698489254951409,0.131097572129671
1956398.34351706,0.0660657197509165,0.12575643792971
2002200.37181558,0.0624710974626693,0.120618097914123
2049074.68981585,0.0590573229919015,0.115651935676129
2097046.40132323,0.0558169653177568,0.110876125954483
2146141.19785841,0.0527476094174023,0.106291657345431
2196385.37241655,0.0498253189815954,0.101848950644807
2247805.83354873,0.0470594127237801,0.0976089924476004
2300430.11977292,0.0444383433737654,0.0935101004964746
2354286.41432242,0.0419551898698245,0.0895776034833774
2409403.56023953,0.0396034728498461,0.0857893731282125
2465811.0758226,0.0373771486122896,0.0821544731352579
2523539.17043477,0.0352704182719537,0.0786634303537645
2582618.76068267,0.0332763567338521,0.0753044036251176
2643081.4869741,0.0313904777628702,0.0721068031286624
2704959.73046314,0.0296070493969846,0.0690095239864692
2768286.63039207,0.0279209510260451,0.0660615562606117
2833096.10183932,0.0263272804772249,0.063214068969765
2899422.85388288,0.0248213303656392,0.0604902911185356
2967302.40818887,0.0233986010930448,0.0578876898388138
3036771.11803546,0.0220547895787876,0.0553622060589494
3107866.18778201,0.0207857845142005,0.0529579259083508
3180625.69279412,0.0195876613446858,0.0506494001518291
3255088.59983506,0.0184566767735193,0.0484481707698694
3331294.78793467,0.0173892627748587,0.0463398815778569
3409285.06974681,0.0163820218572342,0.0443209765162169
3489101.21340677,0.0154317193280087,0.0423639615130078
3570785.96490046,0.0145352785751615,0.040514920924212
3654383.07095725,0.0136897775926343,0.0387321599689799
3739937.3024788,0.0128924388731607,0.037041714715312
3827494.47851632,0.012140618169605,0.0353902861658558
